id,category,category_code,category_name,question,compliance_expectation
22,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are all R2 requirements integrated into the EHSMS?,EHSMS documentation showing R2 integration
23,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are documents and records maintained for at least three years?,Records retention policy and archived documents
24,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Has a full internal R2 audit been conducted within the past year?,Internal audit report covering all requirements
25,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Does the facility demonstrate technical capability for all accepted materials?,"Training records, equipment specifications"
26,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Have environmental impacts been identified and analyzed?,Environmental aspects register with controls
27,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Has health and safety risk assessment been completed?,Risk assessment documentation with controls
28,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Is there a process for evaluating hazardous substance exposure?,IH monitoring program and results
29,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are incoming materials inspected for damage or hazards?,Receiving inspection procedures and records
30,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are housekeeping standards maintained throughout the facility?,Housekeeping schedule and inspection records
31,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are sanitary facilities provided for workers?,Physical verification of adequate facilities
32,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Is food/beverage consumption restricted in contaminated areas?,Posted policies and designated clean areas
33,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Do temporary workers receive the same protections as employees?,Training and PPE records for all workers
34,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Is there a designated EH&S coordinator?,Named individual with defined responsibilities
35,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,"Are mercury, lead, and other toxics specifically evaluated?",Hazard assessment for listed substances
36,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Does the facility have a comprehensive legal compliance plan?,Written plan identifying all applicable laws
37,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are all environmental permits current and available?,Permit files with no expirations
38,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,How are import/export laws identified and documented?,Legal requirements for all countries involved
39,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Has a compliance audit been conducted by a competent auditor?,Audit report with auditor qualifications
40,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are regulatory violations reported to the CB within 30 days?,Notification records if applicable
41,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Is child labor prohibited and verified?,Age verification procedures and records
42,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,"If prison labor is used, is it voluntary and compensated?",Prison labor agreements if applicable
43,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Does the facility maintain a non-discrimination policy?,Written policy with complaint procedures
44,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are transboundary shipments verified as legal?,Export/import documentation for international shipments
45,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,How are data security legal requirements addressed?,Data protection compliance documentation
46,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are corrective actions implemented for non-compliance?,CAR records for any violations
47,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Is the legal compliance plan updated with regulation changes?,Review and update records
48,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are downstream vendor shipments verified for legality?,DSV international shipment documentation
49,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Does the facility track Basel Convention requirements?,Basel waste determination procedures
50,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are workers paid in compliance with wage laws?,Payroll records showing legal compliance
51,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are bills of lading maintained for all inbound materials?,Complete BOL files with signatures
52,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Do inbound records include accurate dates and descriptions?,Detailed receiving documentation
53,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Is a summary report of all transactions maintained?,12-month transaction summary report
54,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,How are R2 Controlled Streams tracked through processing?,Inventory tracking system records
55,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are inventory levels below defined limits?,Current inventory vs. permitted limits
56,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are materials stored less than one year?,Date tracking showing <1 year storage
57,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are tested components properly inventoried if stored longer?,Component inventory per Appendix C
58,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Do outbound records match the tracking requirements?,Shipping records with required details
59,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are international shipments properly documented?,Bill of lading and container numbers
60,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Is throughput consistent with processing capabilities?,Input/output reconciliation records
61,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,How are negative value materials tracked?,Separate tracking for materials with costs
62,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are in-process inventories accurately maintained?,WIP inventory records
63,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Do outputs correlate with inputs and processes?,Mass balance documentation
64,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are contractual processing timeframes met?,Processing time records vs. agreements
65,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,How are brokered materials tracked if not physically received?,Broker transaction documentation
66,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is there a documented sorting and categorization process?,Written procedures matching REC categories
67,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are REC categories or equivalent used for all materials?,Category correlation documentation
68,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",How are data storage devices identified during sorting?,Data device identification procedures
69,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are reuse capability criteria clearly defined?,Written evaluation criteria
70,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is equipment re-evaluated when processing changes categories?,Re-categorization procedures
71,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",How are R2 Controlled Streams distinguished from Unrestricted?,Clear identification methods
72,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are materials from other R2 facilities properly recognized?,Verification procedures for R2 materials
73,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is sampling used to verify non-R2 facility categorization?,Documented sampling process
74,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are data-containing devices secured until sanitized?,Security controls and access logs
75,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are commercial agreements restricting reuse followed?,Contract compliance procedures
76,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is reusable equipment assigned unique identifiers?,Serialization or batch tracking system
77,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are functioning products properly categorized before sale?,REC category assignment records
78,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is cosmetic condition disclosed to buyers?,Condition grading documentation
79,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are collectible electronics properly managed?,Procedures for vintage/rare items
80,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",How are prohibited items excluded from reuse?,Screening for recalled/counterfeit products
81,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Does the facility have a comprehensive Data Sanitization Plan?,Written plan with all required elements
82,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are secured areas for data sanitization defined?,Physical security documentation
83,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are all data storage device types identified?,List of accepted device types
84,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is general information distinguished from protected data?,Data classification procedures
85,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,How are network service connections addressed?,Account removal procedures
86,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are data breach regulations identified?,Privacy law compliance documentation
87,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are sanitization methods defined for each device type?,Method specifications by device
88,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is there a Data Protection Representative designated?,Named individual with authority
89,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are workers trained on data security policies?,Training records and competency verification
90,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are security authorizations properly managed?,Authorization levels and access controls
91,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is unauthorized access to data areas prevented?,Access logs and security measures
92,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are data breach response procedures documented?,Incident response plan
93,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Do suppliers receive confirmation of receipt?,Receipt acknowledgment records
94,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are sanitization methods disclosed to suppliers?,Method disclosure documentation
95,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are downstream data vendors properly qualified?,DSV data security audit records
96,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are internal data audits conducted annually?,Independent audit reports
97,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are confidentiality agreements required?,Signed agreements for data handlers
98,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,How is physical destruction verified as complete?,100% destruction verification process
99,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are security breaches reported to affected parties?,Breach notification procedures
100,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is equipment theft tracked and reported?,Theft reporting procedures
101,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Does the facility have a current FM Management Plan?,Written plan updated regularly
102,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are all FM types identified in the plan?,Complete FM listing
103,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Is demonstrated expertise documented for each FM?,Capability documentation by FM type
104,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are processing methods defined for each FM?,Method specifications
105,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Is the downstream recycling chain flowcharted?,Visual flowchart to final disposition
106,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are international FM movements identified?,Transboundary movement documentation
107,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are print cartridges managed appropriately?,OEM or remanufacturer routing
108,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,How are PCB-containing items managed?,PCB identification and handling procedures
109,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are mercury-containing devices properly handled?,Mercury management procedures
110,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Is CRT glass processed according to requirements?,CRT processing documentation
111,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are all battery types properly managed?,Battery sorting and routing procedures
112,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are circuit boards tracked to metal recovery?,Circuit board downstream documentation
113,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,How are solar cells from PV modules managed?,Solar cell recovery procedures
114,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are de minimis FM amounts properly determined?,De minimis determination procedures
115,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Is FM tracking maintained to final disposition?,Complete chain documentation
116,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are all processing operations conducted indoors?,Indoor processing or outdoor risk assessment
117,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are R2 Controlled Streams stored properly?,Weather protection and security measures
118,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Is reuse equipment stored in enclosed environments?,Protected storage verification
119,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are storage areas clearly labeled?,Container and area labeling
120,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Does the facility have appropriate insurance coverage?,Current insurance certificates
121,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Is workers' compensation insurance maintained?,Workers' comp policy documentation
122,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Does the facility have a written closure plan?,Current closure plan document
123,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are closure costs properly estimated?,Cost calculations including remediation
124,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Is financial assurance established for closure?,"Bond, insurance, or other instrument"
125,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are financial instrument exemptions properly justified?,Documentation meeting all three criteria
126,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Is pollution liability insurance maintained?,Pollution policy if required
127,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are storage areas secure from unauthorized access?,Security measures documentation
128,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Is the facility properly zoned for operations?,Commercial/industrial zoning verification
129,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are risks evaluated for changes in operations?,Risk reassessment records
130,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are reserves appropriate for operational risks?,Reserve adequacy documentation
131,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are materials packed to prevent damage during transport?,Packaging procedures and standards
132,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are data-containing devices secured during transport?,Security measures for shipments
133,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are packages concealed from public view?,Concealment methods documentation
134,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are shipping documents accurately coded?,Proper waste codes and descriptions
135,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are transporters properly qualified?,Transporter permits and qualifications
136,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Is chain of custody maintained during transport?,Tracking and custody documentation
137,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are hazmat requirements followed?,DOT/IATA compliance documentation
138,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are export declarations accurate?,Customs documentation review
139,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are transport contracts enforced?,Contract compliance monitoring
140,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Is packaging appropriate for intended use?,Use-based packaging standards
141,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are all downstream vendors identified and qualified?,Complete DSV listing with qualifications
142,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Is 100% due diligence performed on active DSVs?,Due diligence records for all vendors
143,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are R2 certifications verified as current?,R2 certificate verification records
144,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are non-R2 vendors audited annually?,Annual audit reports
145,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Is the recycling chain tracked to final disposition?,Complete chain documentation
146,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are DSV changes registered with SERI if using A(4)(b)?,SERI registration confirmation
147,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are transboundary movements verified as legal?,Import/export compliance documentation
148,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Is waste status determined for international shipments?,Waste determination procedures
149,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are DSV capabilities verified for FM processing?,Capability assessment documentation
150,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Do DSVs have required management systems?,DSV EHSMS verification
151,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are DSV permits current and appropriate?,Permit verification records
152,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are data sanitization DSVs properly audited?,Independent audit by qualified auditor
153,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Do refurbishment DSVs only sell functional equipment?,DSV sales verification
154,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are materials recovery DSVs compliant with Appendix E?,Appendix E compliance verification
155,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are brokering DSVs qualified to Appendix F?,Broker qualification records
