id,category,category_code,category_name,question,compliance_expectation,tags,_normalized_tags
14,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,How are non-reusable items directed to materials recovery?,Process flow documentation and routing records,CR2,CR2
15,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Are focus materials ever sent to energy recovery or landfill?,Records showing no disposal unless legally required,CR2,CR2
16,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,How does the facility verify downstream vendors follow the hierarchy?,DSV audit records showing hierarchy compliance,CR2,CR2
17,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Are recalled or counterfeit items properly excluded from reuse?,Procedures for identifying and routing prohibited items,CR2,CR2
18,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Is disposal only used when no recycling options exist?,Documentation of technical/economic infeasibility,CR2,CR2
19,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,How are extreme circumstances for FM disposal documented?,"Written justification if applicable, legal requirements",CR2,CR2
20,CORE REQUIREMENT 2: HIERARCHY OF RESPONSIBLE MANAGEMENT,CORE REQUIREMENT 2,HIERARCHY OF RESPONSIBLE MANAGEMENT,Does the hierarchy policy cover both on-site and off-site activities?,Policy explicitly addressing all controlled operations,CR2,CR2
21,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Does the facility maintain current EHSMS certification from an accredited CB?,Valid ISO 14001/45001 or equivalent certificate,CR3,CR3
22,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are all R2 requirements integrated into the EHSMS?,EHSMS documentation showing R2 integration,CR3,CR3
23,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are documents and records maintained for at least three years?,Records retention policy and archived documents,CR3,CR3
24,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Has a full internal R2 audit been conducted within the past year?,Internal audit report covering all requirements,CR3;A,CR3;A
25,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Does the facility demonstrate technical capability for all accepted materials?,"Training records, equipment specifications",CR3,CR3
26,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Have environmental impacts been identified and analyzed?,Environmental aspects register with controls,CR3,CR3
27,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Has health and safety risk assessment been completed?,Risk assessment documentation with controls,CR3,CR3
28,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Is there a process for evaluating hazardous substance exposure?,IH monitoring program and results,CR3;A,CR3;A
29,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are incoming materials inspected for damage or hazards?,Receiving inspection procedures and records,CR3,CR3
30,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are housekeeping standards maintained throughout the facility?,Housekeeping schedule and inspection records,CR3,CR3
31,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Are sanitary facilities provided for workers?,Physical verification of adequate facilities,CR3,CR3
32,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Is food/beverage consumption restricted in contaminated areas?,Posted policies and designated clean areas,CR3,CR3
33,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Do temporary workers receive the same protections as employees?,Training and PPE records for all workers,CR3,CR3
34,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,Is there a designated EH&S coordinator?,Named individual with defined responsibilities,CR3;A,CR3;A
35,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,"Are mercury, lead, and other toxics specifically evaluated?",Hazard assessment for listed substances,CR3,CR3
36,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Does the facility have a comprehensive legal compliance plan?,Written plan identifying all applicable laws,CR4;A,CR4;A
37,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are all environmental permits current and available?,Permit files with no expirations,CR4,CR4
38,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,How are import/export laws identified and documented?,Legal requirements for all countries involved,CR4,CR4
39,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Has a compliance audit been conducted by a competent auditor?,Audit report with auditor qualifications,CR4;A,CR4;A
40,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are regulatory violations reported to the CB within 30 days?,Notification records if applicable,CR4,CR4
41,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Is child labor prohibited and verified?,Age verification procedures and records,CR4,CR4
42,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,"If prison labor is used, is it voluntary and compensated?",Prison labor agreements if applicable,CR4,CR4
43,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Does the facility maintain a non-discrimination policy?,Written policy with complaint procedures,CR4;A,CR4;A
44,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are transboundary shipments verified as legal?,Export/import documentation for international shipments,CR4,CR4
45,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,How are data security legal requirements addressed?,Data protection compliance documentation,CR4,CR4
46,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are corrective actions implemented for non-compliance?,CAR records for any violations,CR4,CR4
47,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Is the legal compliance plan updated with regulation changes?,Review and update records,CR4,CR4
48,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are downstream vendor shipments verified for legality?,DSV international shipment documentation,CR4,CR4
49,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Does the facility track Basel Convention requirements?,Basel waste determination procedures,CR4,CR4
50,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are workers paid in compliance with wage laws?,Payroll records showing legal compliance,CR4,CR4
51,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are bills of lading maintained for all inbound materials?,Complete BOL files with signatures,CR5,CR5
52,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Do inbound records include accurate dates and descriptions?,Detailed receiving documentation,CR5,CR5
53,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Is a summary report of all transactions maintained?,12-month transaction summary report,CR5;A,CR5;A
54,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,How are R2 Controlled Streams tracked through processing?,Inventory tracking system records,CR5,CR5
55,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are inventory levels below defined limits?,Current inventory vs. permitted limits,CR5,CR5
56,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are materials stored less than one year?,Date tracking showing <1 year storage,CR5,CR5
57,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are tested components properly inventoried if stored longer?,Component inventory per Appendix C,CR5,CR5
58,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Do outbound records match the tracking requirements?,Shipping records with required details,CR5,CR5
59,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are international shipments properly documented?,Bill of lading and container numbers,CR5,CR5
60,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Is throughput consistent with processing capabilities?,Input/output reconciliation records,CR5,CR5
61,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,How are negative value materials tracked?,Separate tracking for materials with costs,CR5,CR5
62,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are in-process inventories accurately maintained?,WIP inventory records,CR5,CR5
63,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Do outputs correlate with inputs and processes?,Mass balance documentation,CR5,CR5
64,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are contractual processing timeframes met?,Processing time records vs. agreements,CR5,CR5
65,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,How are brokered materials tracked if not physically received?,Broker transaction documentation,CR5,CR5
66,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is there a documented sorting and categorization process?,Written procedures matching REC categories,CR6;A,CR6;A
67,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are REC categories or equivalent used for all materials?,Category correlation documentation,CR6,CR6
68,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",How are data storage devices identified during sorting?,Data device identification procedures,CR6,CR6
69,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are reuse capability criteria clearly defined?,Written evaluation criteria,CR6,CR6
70,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is equipment re-evaluated when processing changes categories?,Re-categorization procedures,CR6,CR6
71,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",How are R2 Controlled Streams distinguished from Unrestricted?,Clear identification methods,CR6,CR6
72,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are materials from other R2 facilities properly recognized?,Verification procedures for R2 materials,CR6,CR6
73,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is sampling used to verify non-R2 facility categorization?,Documented sampling process,CR6,CR6
74,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are data-containing devices secured until sanitized?,Security controls and access logs,CR6,CR6
75,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are commercial agreements restricting reuse followed?,Contract compliance procedures,CR6,CR6
76,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is reusable equipment assigned unique identifiers?,Serialization or batch tracking system,CR6,CR6
77,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are functioning products properly categorized before sale?,REC category assignment records,CR6,CR6
78,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is cosmetic condition disclosed to buyers?,Condition grading documentation,CR6,CR6
79,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are collectible electronics properly managed?,Procedures for vintage/rare items,CR6,CR6
80,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",How are prohibited items excluded from reuse?,Screening for recalled/counterfeit products,CR6,CR6
81,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Does the facility have a comprehensive Data Sanitization Plan?,Written plan with all required elements,CR7;A,CR7;A
82,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are secured areas for data sanitization defined?,Physical security documentation,CR7,CR7
83,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are all data storage device types identified?,List of accepted device types,CR7,CR7
84,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is general information distinguished from protected data?,Data classification procedures,CR7,CR7
85,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,How are network service connections addressed?,Account removal procedures,CR7,CR7
86,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are data breach regulations identified?,Privacy law compliance documentation,CR7,CR7
87,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are sanitization methods defined for each device type?,Method specifications by device,CR7,CR7
88,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is there a Data Protection Representative designated?,Named individual with authority,CR7;A,CR7;A
89,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are workers trained on data security policies?,Training records and competency verification,CR7,CR7
90,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are security authorizations properly managed?,Authorization levels and access controls,CR7,CR7
91,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is unauthorized access to data areas prevented?,Access logs and security measures,CR7,CR7
92,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are data breach response procedures documented?,Incident response plan,CR7,CR7
93,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Do suppliers receive confirmation of receipt?,Receipt acknowledgment records,CR7,CR7
94,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are sanitization methods disclosed to suppliers?,Method disclosure documentation,CR7,CR7
95,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are downstream data vendors properly qualified?,DSV data security audit records,CR7,CR7
96,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are internal data audits conducted annually?,Independent audit reports,CR7,CR7
97,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are confidentiality agreements required?,Signed agreements for data handlers,CR7,CR7
98,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,How is physical destruction verified as complete?,100% destruction verification process,CR7,CR7
99,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are security breaches reported to affected parties?,Breach notification procedures,CR7,CR7
100,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is equipment theft tracked and reported?,Theft reporting procedures,CR7,CR7
101,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Does the facility have a current FM Management Plan?,Written plan updated regularly,CR8;A,CR8;A
102,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are all FM types identified in the plan?,Complete FM listing,CR8,CR8
103,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Is demonstrated expertise documented for each FM?,Capability documentation by FM type,CR8,CR8
104,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are processing methods defined for each FM?,Method specifications,CR8,CR8
105,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Is the downstream recycling chain flowcharted?,Visual flowchart to final disposition,CR8,CR8
106,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are international FM movements identified?,Transboundary movement documentation,CR8,CR8
107,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are print cartridges managed appropriately?,OEM or remanufacturer routing,CR8,CR8
108,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,How are PCB-containing items managed?,PCB identification and handling procedures,CR8,CR8
109,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are mercury-containing devices properly handled?,Mercury management procedures,CR8,CR8
110,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Is CRT glass processed according to requirements?,CRT processing documentation,CR8,CR8
111,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are all battery types properly managed?,Battery sorting and routing procedures,CR8,CR8
112,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are circuit boards tracked to metal recovery?,Circuit board downstream documentation,CR8,CR8
113,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,How are solar cells from PV modules managed?,Solar cell recovery procedures,CR8,CR8
114,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are de minimis FM amounts properly determined?,De minimis determination procedures,CR8,CR8
115,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Is FM tracking maintained to final disposition?,Complete chain documentation,CR8,CR8
116,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are all processing operations conducted indoors?,Indoor processing or outdoor risk assessment,CR9,CR9
117,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are R2 Controlled Streams stored properly?,Weather protection and security measures,CR9,CR9
118,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Is reuse equipment stored in enclosed environments?,Protected storage verification,CR9,CR9
119,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are storage areas clearly labeled?,Container and area labeling,CR9,CR9
120,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Does the facility have appropriate insurance coverage?,Current insurance certificates,CR9,CR9
121,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Is workers' compensation insurance maintained?,Workers' comp policy documentation,CR9,CR9
122,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Does the facility have a written closure plan?,Current closure plan document,CR9;A,CR9;A
123,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are closure costs properly estimated?,Cost calculations including remediation,CR9,CR9
124,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Is financial assurance established for closure?,"Bond, insurance, or other instrument",CR9,CR9
125,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are financial instrument exemptions properly justified?,Documentation meeting all three criteria,CR9,CR9
126,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Is pollution liability insurance maintained?,Pollution policy if required,CR9,CR9
127,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are storage areas secure from unauthorized access?,Security measures documentation,CR9,CR9
128,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Is the facility properly zoned for operations?,Commercial/industrial zoning verification,CR9,CR9
129,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are risks evaluated for changes in operations?,Risk reassessment records,CR9,CR9
130,CORE REQUIREMENT 9: FACILITY REQUIREMENTS,CORE REQUIREMENT 9,FACILITY REQUIREMENTS,Are reserves appropriate for operational risks?,Reserve adequacy documentation,CR9,CR9
131,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are materials packed to prevent damage during transport?,Packaging procedures and standards,CR10,CR10
132,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are data-containing devices secured during transport?,Security measures for shipments,CR10,CR10
133,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are packages concealed from public view?,Concealment methods documentation,CR10,CR10
134,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are shipping documents accurately coded?,Proper waste codes and descriptions,CR10,CR10
135,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are transporters properly qualified?,Transporter permits and qualifications,CR10,CR10
136,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Is chain of custody maintained during transport?,Tracking and custody documentation,CR10,CR10
137,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are hazmat requirements followed?,DOT/IATA compliance documentation,CR10,CR10
138,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are export declarations accurate?,Customs documentation review,CR10,CR10
139,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Are transport contracts enforced?,Contract compliance monitoring,CR10,CR10
140,CORE REQUIREMENT 10: TRANSPORT,CORE REQUIREMENT 10,TRANSPORT,Is packaging appropriate for intended use?,Use-based packaging standards,CR10,CR10
141,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are all downstream vendors identified and qualified?,Complete DSV listing with qualifications,A,A
