id,category,category_code,category_name,question,compliance_expectation,primary_response,compliance_status,confidence,score,answer_notes,
35,CORE REQUIREMENT 3: EH&S MANAGEMENT SYSTEM,CORE REQUIREMENT 3,EH&S MANAGEMENT SYSTEM,"Are mercury, lead, and other toxics specifically evaluated?",Hazard assessment for listed substances,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
36,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Does the facility have a comprehensive legal compliance plan?,Written plan identifying all applicable laws,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
37,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are all environmental permits current and available?,Permit files with no expirations,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
38,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,How are import/export laws identified and documented?,Legal requirements for all countries involved,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
39,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Has a compliance audit been conducted by a competent auditor?,Audit report with auditor qualifications,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
40,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are regulatory violations reported to the CB within 30 days?,Notification records if applicable,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
41,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Is child labor prohibited and verified?,Age verification procedures and records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
42,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,"If prison labor is used, is it voluntary and compensated?",Prison labor agreements if applicable,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
43,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Does the facility maintain a non-discrimination policy?,Written policy with complaint procedures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
44,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are transboundary shipments verified as legal?,Export/import documentation for international shipments,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
45,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,How are data security legal requirements addressed?,Data protection compliance documentation,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
46,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are corrective actions implemented for non-compliance?,CAR records for any violations,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
47,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Is the legal compliance plan updated with regulation changes?,Review and update records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
48,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are downstream vendor shipments verified for legality?,DSV international shipment documentation,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
49,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Does the facility track Basel Convention requirements?,Basel waste determination procedures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
50,CORE REQUIREMENT 4: LEGAL AND OTHER REQUIREMENTS,CORE REQUIREMENT 4,LEGAL AND OTHER REQUIREMENTS,Are workers paid in compliance with wage laws?,Payroll records showing legal compliance,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
51,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are bills of lading maintained for all inbound materials?,Complete BOL files with signatures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
52,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Do inbound records include accurate dates and descriptions?,Detailed receiving documentation,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
53,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Is a summary report of all transactions maintained?,12-month transaction summary report,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
54,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,How are R2 Controlled Streams tracked through processing?,Inventory tracking system records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
55,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are inventory levels below defined limits?,Current inventory vs. permitted limits,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
56,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are materials stored less than one year?,Date tracking showing <1 year storage,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
57,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are tested components properly inventoried if stored longer?,Component inventory per Appendix C,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
58,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Do outbound records match the tracking requirements?,Shipping records with required details,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
59,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are international shipments properly documented?,Bill of lading and container numbers,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
60,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Is throughput consistent with processing capabilities?,Input/output reconciliation records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
61,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,How are negative value materials tracked?,Separate tracking for materials with costs,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
62,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are in-process inventories accurately maintained?,WIP inventory records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
63,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Do outputs correlate with inputs and processes?,Mass balance documentation,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
64,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,Are contractual processing timeframes met?,Processing time records vs. agreements,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
65,CORE REQUIREMENT 5: TRACKING THROUGHPUT,CORE REQUIREMENT 5,TRACKING THROUGHPUT,How are brokered materials tracked if not physically received?,Broker transaction documentation,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
66,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is there a documented sorting and categorization process?,Written procedures matching REC categories,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
67,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are REC categories or equivalent used for all materials?,Category correlation documentation,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
68,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",How are data storage devices identified during sorting?,Data device identification procedures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
69,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are reuse capability criteria clearly defined?,Written evaluation criteria,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
70,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is equipment re-evaluated when processing changes categories?,Re-categorization procedures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
71,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",How are R2 Controlled Streams distinguished from Unrestricted?,Clear identification methods,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
72,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are materials from other R2 facilities properly recognized?,Verification procedures for R2 materials,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
73,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is sampling used to verify non-R2 facility categorization?,Documented sampling process,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
74,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are data-containing devices secured until sanitized?,Security controls and access logs,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
75,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are commercial agreements restricting reuse followed?,Contract compliance procedures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
76,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is reusable equipment assigned unique identifiers?,Serialization or batch tracking system,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
77,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are functioning products properly categorized before sale?,REC category assignment records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
78,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Is cosmetic condition disclosed to buyers?,Condition grading documentation,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
79,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",Are collectible electronics properly managed?,Procedures for vintage/rare items,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
80,"CORE REQUIREMENT 6: SORTING, CATEGORIZATION, AND PROCESSING",CORE REQUIREMENT 6,"SORTING, CATEGORIZATION, AND PROCESSING",How are prohibited items excluded from reuse?,Screening for recalled/counterfeit products,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
81,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Does the facility have a comprehensive Data Sanitization Plan?,Written plan with all required elements,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
82,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are secured areas for data sanitization defined?,Physical security documentation,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
83,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are all data storage device types identified?,List of accepted device types,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
84,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is general information distinguished from protected data?,Data classification procedures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
85,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,How are network service connections addressed?,Account removal procedures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
86,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are data breach regulations identified?,Privacy law compliance documentation,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
87,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are sanitization methods defined for each device type?,Method specifications by device,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
88,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is there a Data Protection Representative designated?,Named individual with authority,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
89,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are workers trained on data security policies?,Training records and competency verification,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
90,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are security authorizations properly managed?,Authorization levels and access controls,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
91,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is unauthorized access to data areas prevented?,Access logs and security measures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
92,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are data breach response procedures documented?,Incident response plan,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
93,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Do suppliers receive confirmation of receipt?,Receipt acknowledgment records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
94,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are sanitization methods disclosed to suppliers?,Method disclosure documentation,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
95,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are downstream data vendors properly qualified?,DSV data security audit records,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
96,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are internal data audits conducted annually?,Independent audit reports,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
97,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are confidentiality agreements required?,Signed agreements for data handlers,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
98,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,How is physical destruction verified as complete?,100% destruction verification process,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
99,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Are security breaches reported to affected parties?,Breach notification procedures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
100,CORE REQUIREMENT 7: DATA SECURITY,CORE REQUIREMENT 7,DATA SECURITY,Is equipment theft tracked and reported?,Theft reporting procedures,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
101,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Does the facility have a current FM Management Plan?,Written plan updated regularly,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
102,CORE REQUIREMENT 8: FOCUS MATERIALS,CORE REQUIREMENT 8,FOCUS MATERIALS,Are all FM types identified in the plan?,Complete FM listing,Yes,COMPLIANT,HIGH,100,Assumed compliant baseline; provide objective evidence per question.,
