question_id,requirement_code,requirement_name,requirement_type,question_text,evidence_required,tags
Q-030,CR3,EH&S MANAGEMENT SYSTEM,Core,Are housekeeping standards maintained throughout the facility?,Housekeeping schedule and inspection records,CR3|EH&S_MANAGEMENT_SYSTEM
Q-031,CR3,EH&S MANAGEMENT SYSTEM,Core,Are sanitary facilities provided for workers?,Physical verification of adequate facilities,CR3|EH&S_MANAGEMENT_SYSTEM
Q-032,CR3,EH&S MANAGEMENT SYSTEM,Core,Is food/beverage consumption restricted in contaminated areas?,Posted policies and designated clean areas,CR3|EH&S_MANAGEMENT_SYSTEM
Q-033,CR3,EH&S MANAGEMENT SYSTEM,Core,Do temporary workers receive the same protections as employees?,Training and PPE records for all workers,CR3|EH&S_MANAGEMENT_SYSTEM
Q-034,CR3,EH&S MANAGEMENT SYSTEM,Core,Is there a designated EH&S coordinator?,Named individual with defined responsibilities,CR3|EH&S_MANAGEMENT_SYSTEM
Q-035,CR3,EH&S MANAGEMENT SYSTEM,Core,"Are mercury, lead, and other toxics specifically evaluated?",Hazard assessment for listed substances,CR3|EH&S_MANAGEMENT_SYSTEM
Q-036,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Does the facility have a comprehensive legal compliance plan?,Written plan identifying all applicable laws,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-037,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Are all environmental permits current and available?,Permit files with no expirations,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-038,CR4,LEGAL AND OTHER REQUIREMENTS,Core,How are import/export laws identified and documented?,Legal requirements for all countries involved,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-039,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Has a compliance audit been conducted by a competent auditor?,Audit report with auditor qualifications,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-040,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Are regulatory violations reported to the CB within 30 days?,Notification records if applicable,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-041,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Is child labor prohibited and verified?,Age verification procedures and records,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-042,CR4,LEGAL AND OTHER REQUIREMENTS,Core,"If prison labor is used, is it voluntary and compensated?",Prison labor agreements if applicable,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-043,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Does the facility maintain a non-discrimination policy?,Written policy with complaint procedures,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-044,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Are transboundary shipments verified as legal?,Export/import documentation for international shipments,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-045,CR4,LEGAL AND OTHER REQUIREMENTS,Core,How are data security legal requirements addressed?,Data protection compliance documentation,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-046,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Are corrective actions implemented for non-compliance?,CAR records for any violations,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-047,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Is the legal compliance plan updated with regulation changes?,Review and update records,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-048,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Are downstream vendor shipments verified for legality?,DSV international shipment documentation,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-049,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Does the facility track Basel Convention requirements?,Basel waste determination procedures,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-050,CR4,LEGAL AND OTHER REQUIREMENTS,Core,Are workers paid in compliance with wage laws?,Payroll records showing legal compliance,CR4|LEGAL_AND_OTHER_REQUIREMENTS
Q-051,CR5,TRACKING THROUGHPUT,Core,Are bills of lading maintained for all inbound materials?,Complete BOL files with signatures,CR5|TRACKING_THROUGHPUT
Q-052,CR5,TRACKING THROUGHPUT,Core,Do inbound records include accurate dates and descriptions?,Detailed receiving documentation,CR5|TRACKING_THROUGHPUT
Q-053,CR5,TRACKING THROUGHPUT,Core,Is a summary report of all transactions maintained?,12-month transaction summary report,CR5|TRACKING_THROUGHPUT
Q-054,CR5,TRACKING THROUGHPUT,Core,How are R2 Controlled Streams tracked through processing?,Inventory tracking system records,CR5|TRACKING_THROUGHPUT
Q-055,CR5,TRACKING THROUGHPUT,Core,Are inventory levels below defined limits?,Current inventory vs. permitted limits,CR5|TRACKING_THROUGHPUT
Q-056,CR5,TRACKING THROUGHPUT,Core,Are materials stored less than one year?,Date tracking showing <1 year storage,CR5|TRACKING_THROUGHPUT
Q-057,CR5,TRACKING THROUGHPUT,Core,Are tested components properly inventoried if stored longer?,Component inventory per Appendix C,CR5|TRACKING_THROUGHPUT
Q-058,CR5,TRACKING THROUGHPUT,Core,Do outbound records match the tracking requirements?,Shipping records with required details,CR5|TRACKING_THROUGHPUT
Q-059,CR5,TRACKING THROUGHPUT,Core,Are international shipments properly documented?,Bill of lading and container numbers,CR5|TRACKING_THROUGHPUT
Q-060,CR5,TRACKING THROUGHPUT,Core,Is throughput consistent with processing capabilities?,Input/output reconciliation records,CR5|TRACKING_THROUGHPUT
Q-061,CR5,TRACKING THROUGHPUT,Core,How are negative value materials tracked?,Separate tracking for materials with costs,CR5|TRACKING_THROUGHPUT
Q-062,CR5,TRACKING THROUGHPUT,Core,Are in-process inventories accurately maintained?,WIP inventory records,CR5|TRACKING_THROUGHPUT
Q-063,CR5,TRACKING THROUGHPUT,Core,Do outputs correlate with inputs and processes?,Mass balance documentation,CR5|TRACKING_THROUGHPUT
Q-064,CR5,TRACKING THROUGHPUT,Core,Are contractual processing timeframes met?,Processing time records vs. agreements,CR5|TRACKING_THROUGHPUT
Q-065,CR5,TRACKING THROUGHPUT,Core,How are brokered materials tracked if not physically received?,Broker transaction documentation,CR5|TRACKING_THROUGHPUT
Q-066,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Is there a documented sorting and categorization process?,Written procedures matching REC categories,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-067,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Are REC categories or equivalent used for all materials?,Category correlation documentation,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-068,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,How are data storage devices identified during sorting?,Data device identification procedures,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-069,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Are reuse capability criteria clearly defined?,Written evaluation criteria,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-070,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Is equipment re-evaluated when processing changes categories?,Re-categorization procedures,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-071,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,How are R2 Controlled Streams distinguished from Unrestricted?,Clear identification methods,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-072,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Are materials from other R2 facilities properly recognized?,Verification procedures for R2 materials,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-073,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Is sampling used to verify non-R2 facility categorization?,Documented sampling process,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-074,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Are data-containing devices secured until sanitized?,Security controls and access logs,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-075,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Are commercial agreements restricting reuse followed?,Contract compliance procedures,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-076,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Is reusable equipment assigned unique identifiers?,Serialization or batch tracking system,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-077,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Are functioning products properly categorized before sale?,REC category assignment records,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-078,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Is cosmetic condition disclosed to buyers?,Condition grading documentation,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-079,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,Are collectible electronics properly managed?,Procedures for vintage/rare items,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-080,CR6,"SORTING, CATEGORIZATION, AND PROCESSING",Core,How are prohibited items excluded from reuse?,Screening for recalled/counterfeit products,"CR6|SORTING,_CATEGORIZATION,_AND_PROCESSING"
Q-081,CR7,DATA SECURITY,Core,Does the facility have a comprehensive Data Sanitization Plan?,Written plan with all required elements,CR7|DATA_SECURITY
Q-082,CR7,DATA SECURITY,Core,Are secured areas for data sanitization defined?,Physical security documentation,CR7|DATA_SECURITY
Q-083,CR7,DATA SECURITY,Core,Are all data storage device types identified?,List of accepted device types,CR7|DATA_SECURITY
Q-084,CR7,DATA SECURITY,Core,Is general information distinguished from protected data?,Data classification procedures,CR7|DATA_SECURITY
Q-085,CR7,DATA SECURITY,Core,How are network service connections addressed?,Account removal procedures,CR7|DATA_SECURITY
Q-086,CR7,DATA SECURITY,Core,Are data breach regulations identified?,Privacy law compliance documentation,CR7|DATA_SECURITY
Q-087,CR7,DATA SECURITY,Core,Are sanitization methods defined for each device type?,Method specifications by device,CR7|DATA_SECURITY
Q-088,CR7,DATA SECURITY,Core,Is there a Data Protection Representative designated?,Named individual with authority,CR7|DATA_SECURITY
Q-089,CR7,DATA SECURITY,Core,Are workers trained on data security policies?,Training records and competency verification,CR7|DATA_SECURITY
Q-090,CR7,DATA SECURITY,Core,Are security authorizations properly managed?,Authorization levels and access controls,CR7|DATA_SECURITY
Q-091,CR7,DATA SECURITY,Core,Is unauthorized access to data areas prevented?,Access logs and security measures,CR7|DATA_SECURITY
Q-092,CR7,DATA SECURITY,Core,Are data breach response procedures documented?,Incident response plan,CR7|DATA_SECURITY
Q-093,CR7,DATA SECURITY,Core,Do suppliers receive confirmation of receipt?,Receipt acknowledgment records,CR7|DATA_SECURITY
Q-094,CR7,DATA SECURITY,Core,Are sanitization methods disclosed to suppliers?,Method disclosure documentation,CR7|DATA_SECURITY
Q-095,CR7,DATA SECURITY,Core,Are downstream data vendors properly qualified?,DSV data security audit records,CR7|DATA_SECURITY
Q-096,CR7,DATA SECURITY,Core,Are internal data audits conducted annually?,Independent audit reports,CR7|DATA_SECURITY
Q-097,CR7,DATA SECURITY,Core,Are confidentiality agreements required?,Signed agreements for data handlers,CR7|DATA_SECURITY
Q-098,CR7,DATA SECURITY,Core,How is physical destruction verified as complete?,100% destruction verification process,CR7|DATA_SECURITY
Q-099,CR7,DATA SECURITY,Core,Are security breaches reported to affected parties?,Breach notification procedures,CR7|DATA_SECURITY
Q-100,CR7,DATA SECURITY,Core,Is equipment theft tracked and reported?,Theft reporting procedures,CR7|DATA_SECURITY
Q-101,CR8,FOCUS MATERIALS,Core,Does the facility have a current FM Management Plan?,Written plan updated regularly,CR8|FOCUS_MATERIALS
Q-102,CR8,FOCUS MATERIALS,Core,Are all FM types identified in the plan?,Complete FM listing,CR8|FOCUS_MATERIALS
Q-103,CR8,FOCUS MATERIALS,Core,Is demonstrated expertise documented for each FM?,Capability documentation by FM type,CR8|FOCUS_MATERIALS
Q-104,CR8,FOCUS MATERIALS,Core,Are processing methods defined for each FM?,Method specifications,CR8|FOCUS_MATERIALS
Q-105,CR8,FOCUS MATERIALS,Core,Is the downstream recycling chain flowcharted?,Visual flowchart to final disposition,CR8|FOCUS_MATERIALS
Q-106,CR8,FOCUS MATERIALS,Core,Are international FM movements identified?,Transboundary movement documentation,CR8|FOCUS_MATERIALS
Q-107,CR8,FOCUS MATERIALS,Core,Are print cartridges managed appropriately?,OEM or remanufacturer routing,CR8|FOCUS_MATERIALS
Q-108,CR8,FOCUS MATERIALS,Core,How are PCB-containing items managed?,PCB identification and handling procedures,CR8|FOCUS_MATERIALS
Q-109,CR8,FOCUS MATERIALS,Core,Are mercury-containing devices properly handled?,Mercury management procedures,CR8|FOCUS_MATERIALS
Q-110,CR8,FOCUS MATERIALS,Core,Is CRT glass processed according to requirements?,CRT processing documentation,CR8|FOCUS_MATERIALS
Q-111,CR8,FOCUS MATERIALS,Core,Are all battery types properly managed?,Battery sorting and routing procedures,CR8|FOCUS_MATERIALS
Q-112,CR8,FOCUS MATERIALS,Core,Are circuit boards tracked to metal recovery?,Circuit board downstream documentation,CR8|FOCUS_MATERIALS
Q-113,CR8,FOCUS MATERIALS,Core,How are solar cells from PV modules managed?,Solar cell recovery procedures,CR8|FOCUS_MATERIALS
Q-114,CR8,FOCUS MATERIALS,Core,Are de minimis FM amounts properly determined?,De minimis determination procedures,CR8|FOCUS_MATERIALS
Q-115,CR8,FOCUS MATERIALS,Core,Is FM tracking maintained to final disposition?,Complete chain documentation,CR8|FOCUS_MATERIALS
Q-116,CR9,FACILITY REQUIREMENTS,Core,Are all processing operations conducted indoors?,Indoor processing or outdoor risk assessment,CR9|FACILITY_REQUIREMENTS
Q-117,CR9,FACILITY REQUIREMENTS,Core,Are R2 Controlled Streams stored properly?,Weather protection and security measures,CR9|FACILITY_REQUIREMENTS
Q-118,CR9,FACILITY REQUIREMENTS,Core,Is reuse equipment stored in enclosed environments?,Protected storage verification,CR9|FACILITY_REQUIREMENTS
Q-119,CR9,FACILITY REQUIREMENTS,Core,Are storage areas clearly labeled?,Container and area labeling,CR9|FACILITY_REQUIREMENTS
Q-120,CR9,FACILITY REQUIREMENTS,Core,Does the facility have appropriate insurance coverage?,Current insurance certificates,CR9|FACILITY_REQUIREMENTS
Q-121,CR9,FACILITY REQUIREMENTS,Core,Is workers' compensation insurance maintained?,Workers' comp policy documentation,CR9|FACILITY_REQUIREMENTS
Q-122,CR9,FACILITY REQUIREMENTS,Core,Does the facility have a written closure plan?,Current closure plan document,CR9|FACILITY_REQUIREMENTS
Q-123,CR9,FACILITY REQUIREMENTS,Core,Are closure costs properly estimated?,Cost calculations including remediation,CR9|FACILITY_REQUIREMENTS
Q-124,CR9,FACILITY REQUIREMENTS,Core,Is financial assurance established for closure?,"Bond, insurance, or other instrument",CR9|FACILITY_REQUIREMENTS
Q-125,CR9,FACILITY REQUIREMENTS,Core,Are financial instrument exemptions properly justified?,Documentation meeting all three criteria,CR9|FACILITY_REQUIREMENTS
Q-126,CR9,FACILITY REQUIREMENTS,Core,Is pollution liability insurance maintained?,Pollution policy if required,CR9|FACILITY_REQUIREMENTS
Q-127,CR9,FACILITY REQUIREMENTS,Core,Are storage areas secure from unauthorized access?,Security measures documentation,CR9|FACILITY_REQUIREMENTS
Q-128,CR9,FACILITY REQUIREMENTS,Core,Is the facility properly zoned for operations?,Commercial/industrial zoning verification,CR9|FACILITY_REQUIREMENTS
Q-129,CR9,FACILITY REQUIREMENTS,Core,Are risks evaluated for changes in operations?,Risk reassessment records,CR9|FACILITY_REQUIREMENTS
Q-130,CR9,FACILITY REQUIREMENTS,Core,Are reserves appropriate for operational risks?,Reserve adequacy documentation,CR9|FACILITY_REQUIREMENTS
Q-131,CR10,TRANSPORT,Core,Are materials packed to prevent damage during transport?,Packaging procedures and standards,CR10|TRANSPORT
Q-132,CR10,TRANSPORT,Core,Are data-containing devices secured during transport?,Security measures for shipments,CR10|TRANSPORT
Q-133,CR10,TRANSPORT,Core,Are packages concealed from public view?,Concealment methods documentation,CR10|TRANSPORT
Q-134,CR10,TRANSPORT,Core,Are shipping documents accurately coded?,Proper waste codes and descriptions,CR10|TRANSPORT
Q-135,CR10,TRANSPORT,Core,Are transporters properly qualified?,Transporter permits and qualifications,CR10|TRANSPORT
Q-136,CR10,TRANSPORT,Core,Is chain of custody maintained during transport?,Tracking and custody documentation,CR10|TRANSPORT
Q-137,CR10,TRANSPORT,Core,Are hazmat requirements followed?,DOT/IATA compliance documentation,CR10|TRANSPORT
Q-138,CR10,TRANSPORT,Core,Are export declarations accurate?,Customs documentation review,CR10|TRANSPORT
Q-139,CR10,TRANSPORT,Core,Are transport contracts enforced?,Contract compliance monitoring,CR10|TRANSPORT
Q-140,CR10,TRANSPORT,Core,Is packaging appropriate for intended use?,Use-based packaging standards,CR10|TRANSPORT
Q-141,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are all downstream vendors identified and qualified?,Complete DSV listing with qualifications,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-142,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Is 100% due diligence performed on active DSVs?,Due diligence records for all vendors,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-143,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are R2 certifications verified as current?,R2 certificate verification records,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-144,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are non-R2 vendors audited annually?,Annual audit reports,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-145,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Is the recycling chain tracked to final disposition?,Complete chain documentation,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-146,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are DSV changes registered with SERI if using A(4)(b)?,SERI registration confirmation,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-147,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are transboundary movements verified as legal?,Import/export compliance documentation,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-148,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Is waste status determined for international shipments?,Waste determination procedures,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-149,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are DSV capabilities verified for FM processing?,Capability assessment documentation,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-150,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Do DSVs have required management systems?,DSV EHSMS verification,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-151,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are DSV permits current and appropriate?,Permit verification records,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-152,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are data sanitization DSVs properly audited?,Independent audit by qualified auditor,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-153,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Do refurbishment DSVs only sell functional equipment?,DSV sales verification,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-154,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are materials recovery DSVs compliant with Appendix E?,Appendix E compliance verification,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-155,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are brokering DSVs qualified to Appendix F?,Broker qualification records,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-156,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Is DSV throughput tracking verified?,DSV tracking documentation,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-157,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are negative value materials covered by insurance?,Pollution liability verification,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-158,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are supplier notifications provided upon request?,Transparency procedures,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-159,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Is receipt at DSVs verified?,Delivery confirmation records,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-160,APP-A,DOWNSTREAM RECYCLING CHAIN,Appendix,Are DSV storage times monitored?,<1 year storage verification,APP-A|DOWNSTREAM_RECYCLING_CHAIN
Q-161,APP-B,DATA SANITIZATION,Appendix,Are logical and physical sanitization methods defined?,Method specifications for each,APP-B|DATA_SANITIZATION
Q-162,APP-B,DATA SANITIZATION,Appendix,Are quality controls documented for verification?,QC procedures and records,APP-B|DATA_SANITIZATION
Q-163,APP-B,DATA SANITIZATION,Appendix,Is device traceability maintained through sanitization?,Unique identifier tracking,APP-B|DATA_SANITIZATION
Q-164,APP-B,DATA SANITIZATION,Appendix,Are workers trained on specific sanitization methods?,Method-specific training records,APP-B|DATA_SANITIZATION
Q-165,APP-B,DATA SANITIZATION,Appendix,Are user markings removed from devices?,Label removal procedures,APP-B|DATA_SANITIZATION
Q-166,APP-B,DATA SANITIZATION,Appendix,Are physical security controls appropriate?,Locked/alarmed access points,APP-B|DATA_SANITIZATION
Q-167,APP-B,DATA SANITIZATION,Appendix,Are work areas fully enclosed and secured?,Enclosed space verification,APP-B|DATA_SANITIZATION
Q-168,APP-B,DATA SANITIZATION,Appendix,Is CCTV coverage comprehensive with 60-day retention?,Camera coverage map and recordings,APP-B|DATA_SANITIZATION
Q-169,APP-B,DATA SANITIZATION,Appendix,Is security actively monitored?,Monitoring procedures and logs,APP-B|DATA_SANITIZATION
Q-170,APP-B,DATA SANITIZATION,Appendix,Are security controls regularly tested?,Security test records,APP-B|DATA_SANITIZATION
Q-171,APP-B,DATA SANITIZATION,Appendix,Can any device be located at any time?,Real-time inventory tracking,APP-B|DATA_SANITIZATION
Q-172,APP-B,DATA SANITIZATION,Appendix,Are off-site sanitization services compliant?,Off-site compliance verification,APP-B|DATA_SANITIZATION
Q-173,APP-B,DATA SANITIZATION,Appendix,Are physical destruction methods appropriate?,Table 1 method compliance,APP-B|DATA_SANITIZATION
Q-174,APP-B,DATA SANITIZATION,Appendix,Are NSA-approved methods used where applicable?,EPL equipment verification,APP-B|DATA_SANITIZATION
Q-175,APP-B,DATA SANITIZATION,Appendix,Are degaussers rated for media types?,Degausser specifications,APP-B|DATA_SANITIZATION
Q-176,APP-B,DATA SANITIZATION,Appendix,Are more stringent customer requirements met?,Customer requirement compliance,APP-B|DATA_SANITIZATION
Q-177,APP-B,DATA SANITIZATION,Appendix,Are destruction videos retained for 60 days?,Video retention verification,APP-B|DATA_SANITIZATION
Q-178,APP-B,DATA SANITIZATION,Appendix,Are software sanitization records complete?,Electronic records by serial number,APP-B|DATA_SANITIZATION
